label,scraped_label,fixed_url,scraped_url,sign_variant,signer_number,video_url_ext,video_url_root,number_in_label,letter
À-TOA,À-TOA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/À-TOA.mp4,https://levantelab.storage.googleapis.com/libras/gerais/wG5kHVgwmbXgATScqqfdvxTnCrazzkaKhMBxX2bL.mp4,1,2,mp4,levantelab,False,A
À-VISTA,À-VISTA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/À-VISTA.mp4,https://levantelab.storage.googleapis.com/libras/gerais/53C7Xn7CxlM6AOHCtxniZpsVd4HHrilN3a46d9CJ.mp4,1,2,mp4,levantelab,False,A
ABACAXI,ABACAXI,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABACAXI.mp4,https://levantelab.storage.googleapis.com/libras/gerais/iLZ21NCD2VtjAvpznGTTNiawuUBneWCQhzMJ9ODz.mp4,1,2,mp4,levantelab,False,A
ABANAR,ABANAR,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABANAR.mp4,https://levantelab.storage.googleapis.com/libras/gerais/swiQhJZ6FoTLXBi1u8AgLBLjvhzUO1fbPLK1EEao.mp4,1,2,mp4,levantelab,False,A
ABANDONAR,ABANDONAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABANDONAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABANDONAR.mp4,1,1,mp4,videos,False,A
ABELHA,ABELHA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABELHA.mp4,https://levantelab.storage.googleapis.com/libras/gerais/d89JA9j6go5VSMhQKRAe6R2uWZBfe29sgUTJKb2w.mp4,1,2,mp4,levantelab,False,A
ABENÇOAR,ABENÇOAR,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABENÇOAR.mp4,https://levantelab.storage.googleapis.com/libras/gerais/eq3hmMAxEq55MmhMwVwlLIEBI1w40ahiuIvvpmb5.mp4,1,2,mp4,levantelab,False,A
ABORDAGEM,ABORDAGEM,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABORDAGEM.mp4,https://levantelab.storage.googleapis.com/libras/gerais/uJfvRogIA9RfpKAzLwbNHj0YhwefBstzwLxEBkzB.mp4,1,2,mp4,levantelab,False,A
ABORTAR,ABORTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR.mp4,1,1,mp4,videos,False,A
ABORTAR,ABORTAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR2.mp4,2,1,mp4,videos,True,A
ABRAÇAR,ABRAÇAR,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABRAÇAR.mp4,https://levantelab.storage.googleapis.com/libras/gerais/8HTCqjHZWmq0TPUAgtNxGDMobSHwsfjpUmlUjMCP.mp4,1,2,mp4,levantelab,False,A
ABRIL,ABRIL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIL.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIL.mp4,1,1,mp4,videos,False,A
ABRIR-MENTE,ABRIR-MENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIR-MENTE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIR-MENTE.mp4,1,1,mp4,videos,False,A
ABSORVENTE,ABSORVENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVENTE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVENTE.mp4,1,1,mp4,videos,False,A
ABSORVER,ABSORVER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,1,1,mp4,videos,False,A
ABSTER,ABSTER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,1,1,mp4,videos,False,A
ABSTRATO,ABSTRATO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,1,1,mp4,videos,False,A
