Word,category,example_pt,example_libras,video_url,hand_gesture
PREVIOUS,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/agramatical.mp4,
NEXT,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/agramatical.mp4,
Agramatical,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/agramatical.mp4,
Alfabetização,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/alfabetiza%C3%A7%C3%A3o-1.mp4,
Aluno,Escola,Meus alunos são disciplinados.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/aluno.mp4,
Ambiguidade,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/ambiguidade.mp4,
Analogia,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/analogia.mp4,
Antonímia,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/antonimia.mp4,
Apontador,Escola,Preciso de um apontador emprestado.,POR-FAVOR EMPRESTAR APONTADOR?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1205-apontador.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/37.jpg
Aprendizagem,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aprendizagem.mp4,
Aquisição da língua de sinais,Escola,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-da-lingua-de-sinais.mp4,
Aquisição da linguagem,Escola,Eu estudo sobre a aquisição da linguagem.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-da-linguagem.mp4,
Aquisição de segunda língua,Escola,"Aprender Libras, para mim, é um processo de aquisição de segunda língua.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/aquisi%C3%A7%C3%A3o-de-segunda-l%C3%ADngua.mp4,
Biblioteca,Escola,A biblioteca da minha cidade tem muitos livros.,BIBLIOTECA MINHA CIDADE TER LIVRO-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1206-biblioteca.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg
Caderno,Escola,Que caderno bonito!,UAU CADERNO BONITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1207-caderno.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Caneta,Escola,Tenho caneta de várias cores.,EU TER CANETAS CORES-VARIADO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1208-caneta.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Cartaz,Escola,Vamos colar cartazes do bingo por toda a cidade.,NÓS COLAR CARTAZES CIDADE TODA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01126-cartaz.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Ciência,Escola,Gosto de aprender na escola a matéria de ciências.,EU GOSTAR-MUITO CIÊNCIAS DISCIPLINA ESCOLA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01118-ciencia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg
Concurso,Escola,A minha filha passou no concurso para trabalhar na Universidade.,MEU FILHO CONCURSO PASSAR TRABALHAR UNIVERSIDADE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/455-concurso.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg
Corretivo,Escola,Esqueci de comprar um corretivo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01625-Corretivo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/17.jpg
Desenho,Escola,Comprei o desenho de um gato.,EU COMPRAR DESENHO GATO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/636-desenho.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/26.jpg
Dicionário,Escola,Precisamos consultar no dicionário.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dicionario.mp4,
Diretor,Escola,O diretor é muito competente.,DIRETOR PERFEITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1209-diretor.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/53.jpg
Escola,Escola,Eu moro perto da escola.,EU MORAR PERTO ESCOLA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1210-escola.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg
Estojo,Escola,"No estojo guardo lápis, caneta e tesoura.",ESTOJOa LÁPIS-TESOURA-CANETAb aGUARDARb.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1211-estojo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg
Fita Adesiva,Escola,Preciso de fita adesiva para colar o cartaz na parede.,EU PRECISAR FITA-ADESIVA COLAR CARTAZ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1212-fitaAdesiva.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/38.jpg
Giz,Escola,A professora tem alergia à giz.,PROFESSORA TER ALERGIA GIZ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1213-giz.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg
Idioma,Escola,"Na minha escola estamos aprendendo dois idiomas diferentes, inglês e espanhol.",MINHA ESCOLA APRENDER DOIS IDIOMA INGLÊS ESPANHOL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01136-idioma.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/25.jpg
Imagem,Escola,Tenho a imagem de um cantor colada na porta da minha geladeira.,VOCÊ IMAGEM ENCONTRAR INTERNET?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/639-imagem.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/65.jpg
Lápis,Escola,Irei comprar um lápis novo.,LAPIS MEU ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01483-Lapis.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg
Acre,"Lugares, Cidades e Países",Na região do Acre existem reservas indígenas.,ACRE REGIÃO TER RESERVAS ÍNDIO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00993-acre.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/67.jpg
África,"Lugares, Cidades e Países",O país da África é muito grande.,ÁFRICA CONTINENTE GRANDE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00994-africa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/11.jpg
Alagoas,"Lugares, Cidades e Países",O Alagoas é um estado brasileiro.,ALAGOAS É ESTADO BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00995-alagoas.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/38.jpg
Alemanha,"Lugares, Cidades e Países",A cerveja da Alemanha é muito famosa.,CERVEJA ALEMANHA FAMOSA-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00996-alemanha.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg
Amapá,"Lugares, Cidades e Países",O Amapá fica na região Norte.,AMAPÁ NORTE BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00997-amapa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/67.jpg
Amazonas,"Lugares, Cidades e Países",Amazonas é perto do Peru.,ESTADO AMAZONAS DIVISA PAÍSES VARIADOS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00998-amazonas.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
América,"Lugares, Cidades e Países",Fui em todos os lugares da América.,EU VIAJAR AMÉRICA TODA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00999-america.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
América Central,"Lugares, Cidades e Países",Na América Central tem muitas ilhas bonitas.,AMÉRICA CENTRAL TER ILHAS LINDAS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01000-america-central.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg
América do Norte,"Lugares, Cidades e Países",O México fica na América do Norte.,PAÍS MÉXICO DENTRO AMÉRICA DO NORTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01001-america-norte.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg
América do Sul,"Lugares, Cidades e Países",A América do Sul possui as cidades mais bonitas.,AMÉRICA DO SUL CONTINENTE BONITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01002-america-sul.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg
Andar (prédio),"Lugares, Cidades e Países",Eu moro no sexto andar.,EU MORAR SEXTO ANDAR,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01455-Andar-predio.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/61.jpg
Aracaju,"Lugares, Cidades e Países",Passarei as férias em Aracaju.,,Not Available,
Argentina,"Lugares, Cidades e Países",Na Argentina tem biscoito muito gostoso.,ALFAJOR ARGETINA MELHOR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01004-argentina.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg
Ásia,"Lugares, Cidades e Países",A Ásia é o maior continente do mundo.,,Not Available,
