Word,category,example_pt,example_libras,video_url,hand_gesture
Abacate,Alimentos,Eu adoro vitamina de abacate.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/Abacate.mp4,
Abacaxi,Alimentos,Eu vendo abacaxi.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abacaxi.mp4,
Abóbora,Alimentos,Não gosto de comer abóbora.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/ab%C3%B3bora.mp4,
Açaí,Alimentos,Eu tomo açaí toda semana.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/a%C3%A7a%C3%AD.mp4,
Acerola,Alimentos,Irei fazer um suco de acerola.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/acerola.mp4,
Achocolatado,Alimentos,Prefiro tomar leite sem achocolatado.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/achocolatado.mp4,
Açúcar,Alimentos,"Já que todos gostam, irei colocar açúcar no café.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/a%C3%A7%C3%BAcar.mp4,
Água de coco,Alimentos,"Sempre que vou à praia, tomo água de coco.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/%C3%A1gua-de-coco.mp4,
Alface,Alimentos,O alface que comprei está cheio de insetos.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alface.mp4,
Alho,Alimentos,Odeio quando colocam alho na comida.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alho.mp4,
Amendoim,Alimentos,Minha avó comprou amendoim na feira.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amendoim.mp4,
Amora,Alimentos,Na roça do meu tio há muitas amoras.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amora.mp4,
Arroz,Alimentos,Não consigo comer arroz sem feijão.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/arroz.mp4,
Azeite,Alimentos,"Quando ir à Portugal, traga para mim um azeite.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/azeite.mp4,
Azeitona,Alimentos,Eu pedi para colocarem azeitona na pizza.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/azeitona.mp4,
Bacon,Alimentos,Bacon é uma comida muito gostosa.,Bacon comida gostos@-muito.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/08/bacon.mp4,
Bala,Alimentos,Gosto muito de bala de coco.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bala.mp4,
Banana,Alimentos,Não gosto de vitamina de banana.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/banana.mp4,
Banquete,Alimentos,Eles serviram um banquete na festa.,,Not Available,
Batata,Alimentos,Hoje teremos batata no almoço.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/batata.mp4,
Batata Frita,Alimentos,Batata frita é uma delícia.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/08/batata-frita.mp4,
Batida (Bebida),Alimentos,Haviam batidas de morango na festa.,,Not Available,
Berinjela,Alimentos,Hoje eu fiz berinjela frita.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/berinjela.mp4,
Bife,Alimentos,Meu pai cozinhou bife de boi para mim.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bife.mp4,
Biscoito água e sal,Alimentos,Na minha casa tem biscoito água e sal.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/biscoito-%C3%A1gua-e-sal.mp4,
Bolacha,Alimentos,Adoro comer bolachas.,,Not Available,
Bolo,Alimentos,Os bolos dessa festa estão maravilhosos.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bolo.mp4,
Bombom,Alimentos,Eu gosto de bombom de morango.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bombom.mp4,
Brócolis,Alimentos,Não aguento mais comer brócolis.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/brocolis.mp4,
Café,Alimentos,Preciso tomar café para continuar acordado.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caf%C3%A9.mp4,
