,label,category,example_pt,example_libras,video_url,hand_gesture,url_available,decoded_word,word_in_url
0,Algoritmo,Números,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/algoritmo.mp4,,True,algoritmo,True
1,Binário,Números,,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/binario.mp4,,True,binario,True
2,Cinco,Números,Minha casa é a número cinco.,MINHA CASA NUMERO 5.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1341-cinco.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/32.jpg,True,cinco,True
3,Contabilidade,Números,Tenho vontade de fazer o curso de contabilidade.,EU QUERER FUTURO ESTUDAR CURSO CONTABILIDADE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01119-contabilidade.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/39.jpg,True,contabilidade,True
4,Dez,Números,Tenho mais de dez tios.,EU TER DEZ TIO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1342-dez.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg,True,dez,True
5,Dezena,Números,Eu consegui contar algumas dezenas.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dezena.mp4,,True,dezena,True
6,Dois,Números,Gosto do número dois.,EU GOSTAR NÚMERO DOIS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1343-dois.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,dois,True
7,Nove,Números,Comprei nove pães.,EU COMPRAR NOVE PAO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1344-nove.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/72.jpg,True,nove,True
8,Número,Números,Na chamada meu número é 23.,NÚMERO TELEFONE QUAL?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1345-numero.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,numero,True
9,Oito,Números,"Por favor, compre oito maçãs.",POR FAVOR COMPRAR OITO MAÇA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1346-oito.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,oito,True
10,Porcentagem,Números,Há uma porcentagem de juros na compra do carro.,CARRO COMPRAR PORCENTAGEM JUROS QUAL?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1199-porcentagem.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/17.jpg,True,porcentagem,True
11,Quantidade,Números,É necessário colocar a quantidade certa de açúcar.,AÇÚCAR QUANTIDADE COLOCAR RECEITA?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1200-quantidade.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,quantidade,True
12,Quatro,Números,Na minha casa tem quatro pessoas.,EU MORAR JUNTO QUATRO PESSOA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1347-quatro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/04.jpg,True,quatro,True
13,Seis,Números,Tenho seis filhos.,EU TER SEIS FILH@.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1348-seis.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/72.jpg,True,seis,True
14,Sete,Números,Na minha casa tem festa e comprei sete pizzas.,EU COMPRAR SETE PIZZA PORQUE TER FESTA MINHA CASA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1349-sete.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/51.jpg,True,sete,True
15,Três,Números,Comi três barras de chocolate.,EU COMER TRES BARRA CHOCOLATE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1350-tres.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/78.jpg,True,tres,True
17,Unidade,Números,Aprendi na escola o que era uma unidade.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/unidade.mp4,,True,unidade,True
18,Zero,Números,Tenho medo de ganhar zero na prova.,EU MEDO NOTA ZERO PROVA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1352-zero.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/73.jpg,True,zero,True
19,Abajur,Objetos,Tem um abajur do lado da minha cama.,ABAJUR TER LADO MINHA CAMA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01454-Abajur.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/11.jpg,True,abajur,True
20,Abridor,Objetos,O abridor está naquela gaveta.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/abridor.mp4,,True,abridor,True
21,Absorvente,Objetos,Precisamos comprar absorvente.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/absorvente-1.mp4,,True,absorvente,True
22,Adesivo,Objetos,Preciso colar o adesivo no papel.,EU PRECISAR ADESIVO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1283-adesivo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg,True,adesivo,True
23,Agulha,Objetos,Eu tenho medo de agulha.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01799-agulha.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/18.jpg,True,agulha,True
24,Agulha de crochê,Objetos,Minha avó tem agulha de crochê.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/agulha-de-croch%C3%AA.mp4,,True,agulha-de-croche,True
25,Algemas,Objetos,Policiais utilizam algemas para prender ladrões.,POLICIAL USAR ALGEMA PRENDER LADRAO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1353-algema.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/16.jpg,True,algemas,True
26,Aliança,Objetos,Na piscina perdi a minha aliança.,EU PERDER ALIANÇA PISCINA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1354-alian%C3%A7a.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,alianca,True
27,Alicate,Objetos,"Quebrei o alicate, pois fiz muita força.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alicate-1.mp4,,True,alicate,True
28,Almofada,Objetos,Minhas almofadas são todas brancas.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/almofada.mp4,,True,almofada,True
29,Anel,Objetos,Comprei um anel para minha namorada.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/anel-2.mp4,,True,anel,True
30,Aparelho de barbear,Objetos,Preciso de um aparelho de barbear. Minha barba está grande.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/aparelho-de-barbear.mp4,,True,aparelho-de-barbear,True
