label,video_url,signer_number,data_source,sign_url,signer_order
À noite toda ,https://libras.cin.ufpe.br/storage/videos/20210126072453_601096b5ed907.mp4,1,vl,https://libras.cin.ufpe.br/sign/885,132
À noite toda ,https://libras.cin.ufpe.br/storage/videos/20210411080131_6072d70b74896.mp4,3,vl,https://libras.cin.ufpe.br/sign/885,132
À noite toda ,https://libras.cin.ufpe.br/storage/videos/20210929042018_6154bc720abf7.mp4,2,vl,https://libras.cin.ufpe.br/sign/885,132
À tarde toda ,https://libras.cin.ufpe.br/storage/videos/20201221023954_5fe0ddea908eb.mp4,1,vl,https://libras.cin.ufpe.br/sign/100,123
À tarde toda ,https://libras.cin.ufpe.br/storage/videos/20201221023954_5fe0ddea96624.mp4,2,vl,https://libras.cin.ufpe.br/sign/100,123
À tarde toda ,https://libras.cin.ufpe.br/storage/videos/20210329103021_6061d66d229d2.mp4,3,vl,https://libras.cin.ufpe.br/sign/100,123
Abacaxi ,https://libras.cin.ufpe.br/storage/videos/20210127091036_6011583c87073.mp4,3,vl,https://libras.cin.ufpe.br/sign/817,312
Abacaxi ,https://libras.cin.ufpe.br/storage/videos/20210128115432_601378e8d032d.mp4,1,vl,https://libras.cin.ufpe.br/sign/817,312
Abacaxi ,https://libras.cin.ufpe.br/storage/videos/20210929043133_6154bf1508f4a.mp4,2,vl,https://libras.cin.ufpe.br/sign/817,312
Abanar ,https://libras.cin.ufpe.br/storage/videos/20210501070948_608d28ecb0e74.mp4,1,vl,https://libras.cin.ufpe.br/sign/1536,132
Abanar ,https://libras.cin.ufpe.br/storage/videos/20210623032101_60d37b8df3734.mp4,3,vl,https://libras.cin.ufpe.br/sign/1536,132
Abanar ,https://libras.cin.ufpe.br/storage/videos/20210929042550_6154bdbe88959.mp4,2,vl,https://libras.cin.ufpe.br/sign/1536,132
Abandonar ,https://libras.cin.ufpe.br/storage/videos/20201221125913_5fe0c651a8bc2.mp4,1,vl,https://libras.cin.ufpe.br/sign/71,123
Abandonar ,https://libras.cin.ufpe.br/storage/videos/20210209055625_6022f6f9e1a7b.mp4,2,vl,https://libras.cin.ufpe.br/sign/71,123
Abandonar ,https://libras.cin.ufpe.br/storage/videos/20210331110628_606481e488ae6.mp4,3,vl,https://libras.cin.ufpe.br/sign/71,123
Abelha ,https://libras.cin.ufpe.br/storage/videos/20210128033241_6013034933114.mp4,3,vl,https://libras.cin.ufpe.br/sign/1121,312
Abelha ,https://libras.cin.ufpe.br/storage/videos/20210505115038_6092b0be62225.mp4,1,vl,https://libras.cin.ufpe.br/sign/1121,312
Abelha ,https://libras.cin.ufpe.br/storage/videos/20210929043212_6154bf3c31c6d.mp4,2,vl,https://libras.cin.ufpe.br/sign/1121,312
Abençoar ,https://libras.cin.ufpe.br/storage/videos/20201222044636_5fe24d1cce30a.mp4,1,vl,https://libras.cin.ufpe.br/sign/207,123
Abençoar ,https://libras.cin.ufpe.br/storage/videos/20201223080800_5fe3cdd0d9774.mp4,2,vl,https://libras.cin.ufpe.br/sign/207,123
Abençoar ,https://libras.cin.ufpe.br/storage/videos/20210331110631_606481e74680e.mp4,3,vl,https://libras.cin.ufpe.br/sign/207,123
Abóbora ,https://libras.cin.ufpe.br/storage/videos/20210128055247_6013241f54f42.mp4,3,vl,https://libras.cin.ufpe.br/sign/1213,312
Abóbora ,https://libras.cin.ufpe.br/storage/videos/20210505074700_609277a470e6b.mp4,1,vl,https://libras.cin.ufpe.br/sign/1213,312
Abóbora ,https://libras.cin.ufpe.br/storage/videos/20210929043239_6154bf5725f4a.mp4,2,vl,https://libras.cin.ufpe.br/sign/1213,312
Aborto ,https://libras.cin.ufpe.br/storage/videos/20210331110633_606481e98b276.mp4,3,vl,https://libras.cin.ufpe.br/sign/72,312
Aborto ,https://libras.cin.ufpe.br/storage/videos/20210908085313_61394ce9b2f61.mp4,1,vl,https://libras.cin.ufpe.br/sign/72,312
Aborto ,https://libras.cin.ufpe.br/storage/videos/20210929043258_6154bf6a9bb7a.mp4,2,vl,https://libras.cin.ufpe.br/sign/72,312
Abraço ,https://libras.cin.ufpe.br/storage/videos/20210114111956_6000530ce4618.mp4,1,vl,https://libras.cin.ufpe.br/sign/405,123
Abraço ,https://libras.cin.ufpe.br/storage/videos/20210114111956_6000530cf225e.mp4,2,vl,https://libras.cin.ufpe.br/sign/405,123
Abraço ,https://libras.cin.ufpe.br/storage/videos/20210331110639_606481ef54c64.mp4,3,vl,https://libras.cin.ufpe.br/sign/405,123
Abrir a janela ,https://libras.cin.ufpe.br/storage/videos/20210127091430_601159269ac75.mp4,3,vl,https://libras.cin.ufpe.br/sign/819,321
Abrir a janela ,https://libras.cin.ufpe.br/storage/videos/20210929043317_6154bf7dbcbc9.mp4,2,vl,https://libras.cin.ufpe.br/sign/819,321
Abrir a janela ,https://libras.cin.ufpe.br/storage/videos/20211029045051_617c509bd708e.mp4,1,vl,https://libras.cin.ufpe.br/sign/819,321
Abrir a porta ,https://libras.cin.ufpe.br/storage/videos/20210126072622_6010970e6c7c1.mp4,1,vl,https://libras.cin.ufpe.br/sign/818,132
Abrir a porta ,https://libras.cin.ufpe.br/storage/videos/20210331110637_606481edd2909.mp4,3,vl,https://libras.cin.ufpe.br/sign/818,132
Abrir a porta ,https://libras.cin.ufpe.br/storage/videos/20210929043334_6154bf8e5268a.mp4,2,vl,https://libras.cin.ufpe.br/sign/818,132
Acabar ,https://libras.cin.ufpe.br/storage/videos/20201221031803_5fe0e6db09db5.mp4,1,vl,https://libras.cin.ufpe.br/sign/116,123
