label,video_url,signer_number,data_source,scraped_label,number_in_label,file_exists,letter,assuntos,acepção,exemplo,exemplo libras,classe gramatical,origem,scraped_video_url,sign_variant,signer_number.1,video_url_root,video_url_ext,sign_url,signer_order,Unnamed: 0,category,example_pt,example_libras,hand_gesture,url_available,decoded_word,word_in_url
A,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aSm_Prog001.mp4,0.0,ne,A,False,True,A,NENHUM,Primeira letra do alfabeto da língua portuguesa; sinal gráfico elementar com que se representam os vocábulos na língua escrita.,Invente qualquer palavra que comece com a letra A.,VOCÊ INVENTAR QUALQUER PALAVRA COMEÇAR A.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABACATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacateSm_Prog001.mp4,0.0,ne,ABACATE,False,True,A,FRUTA,"O fruto do abacateiro. Comestível, tem a polpa amarelada e macia. É consumido puro, com açúcar, em pratos salgados ou em vitaminas.",Você gosta de abacate com leite?,VOCÊ GOSTAR ABACATE LEITE JUNTO?,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABACAXI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacaxiSm_Prog001.mp4,0.0,ne,ABACAXI,False,True,A,FRUTA,"Fruta de casca grossa e áspera. Sua polpa pode ser consumida pura, em forma de sucos, doces e sorvetes.","Hoje tomei suco de abacaxi, ele estava ácido.",HOJE S-U-C-O ABACAXI BEBER ÁCID@.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABAFAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abafarSm_Prog001.mp4,0.0,ne,ABAFAR,False,True,A,NENHUM,"Cobrir ou fechar, para manter o calor.","Se você quer abafar seu quarto, é melhor fechar tudo.",S-I VOCÊ QUERER QUARTO SE@ ABAFAR A-R? MELHOR FECHAR-TUDO.,VERBO,Nacional,,,,,,,,,,,,,,,
ABAIXO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixoSm_Prog001.mp4,0.0,ne,ABAIXO,False,True,A,NENHUM,"Lugar, posição ou situação inferior, em relação a outros de nível mais elevado.","Não é no primeiro apartamento abaixo, é no segundo.",APARTAMENTO PRIMEIR@ NÃO SEGUND@ ABAIXO.,ADV.,Nacional,,,,,,,,,,,,,,,
ABAIXO-ASSINADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,0.0,ne,ABAIXO-ASSINADO,False,True,A,NENHUM,"Lista encaminhada a determinado destinatário, com a assinatura de pessoas que reivindicam ou manifestam sua opinião sobre um assunto.",Os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,SURD@ ABAIXO-ASSINADO PEDIR GOVERNO EMPREGO MAIS.,LOC. SUBST.,Nacional,,,,,,,,,,,,,,,
ABAJUR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abajurSm_Prog001.mp4,0.0,ne,ABAJUR,False,True,A,CASA,Quebra-luz; peça usada para oferecer iluminação indireta em ambientes.,A lâmpada do abajur queimou.,coisa-cônicaLÂMPADA LÂMPADA-QUEIMAR .,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABANAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abanarSm_Prog001.mp4,0.0,ne,ABANAR,False,True,A,NENHUM,Agitar seguidamente um leque ou abano.,Está vendo aquela velha se abanando? Ela é avó da minha amiga.,2sOLHAR3s VELH@ ABANAR-LEQUE LÁ(ME) V-O-V-O AMIG@(MD).,VERBO,Nacional,,,,,,,,,,,,,,,
ABANDONAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,0.0,ne,ABANDONAR1,True,True,A,NENHUM,"Desprezar, largar, deixar de cuidar.",O carro velho foi abandonado naquela garagem.,AQUEL@ CARAGEM CARRO VELH@ ABANDONAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ABANDONAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,0.0,ne,ABANDONAR2,True,True,A,NENHUM,"Deixar pessoa ou algum objeto, sem intenção de retomá-lo.",Coitada dessa criança tão bonita dormindo na rua. Como seus pais tiveram coragem de abandoná-la?!,CRIANÇA BONIT@ DORMIR R-U-A COITAD@! P-A-I M-Ã-E DEL@ ABANDONAR CORAGEM?!,VERBO,Nacional,,,,,,,,,,,,,,,
ABARROTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,0.0,ne,ABARROTADO,False,True,A,NENHUM,Muito cheio; ocupado acima da capacidade normal.,Ontem o metrô estava abarrotado de gente.,ONTEM METRÔ PESSOA MUIT@ ABARROTAD@ pessoaCHEI@,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABASTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abastadoSm_Prog001.mp4,0.0,ne,ABASTADO,False,True,A,NENHUM,Possuidor de bens; rico; endinheirado.,"Ele é rico, abastado.",EL@ RIC@ ABASTAD@.,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABATIDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatidoSm_Prog001.mp4,0.0,ne,ABATIDO,False,True,A,SENTIMENTOS,Deprimido; desanimado.,A família consolou a viúva que estava abatida.,FAMÍLIA CONSOLAR MULHER VIÚV@ ABATID@,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABATIMENTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatimentoSm_Prog001.mp4,0.0,ne,ABATIMENTO,False,True,A,NENHUM,Desconto; redução.,Você pode fazer abatimento dos gastos hospitalares no Imposto de Renda.,HOSPITAL GASTAR VOCÊ I.R. ABATIMENTO PODER.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABDICAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdicarSm_Prog001.mp4,0.0,ne,ABDICAR,False,True,A,NENHUM,Ato voluntário de renúncia a um cargo conferido por nobreza ou honraria.,O Coronel abdicou de tornar-se major do exército.,HOMEM AQUEL@ CORONEL ABDICAR MAJOR EXERCITO.,VERBO,Nacional,,,,,,,,,,,,,,,
ABDÔMEN,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdomenSm_Prog001.mp4,0.0,ne,ABDÔMEN,False,True,A,CORPO,"Região entre o tórax e a bacia, em cuja cavidade estão os órgãos digestivos, urinários e outros igualmente importantes; ventre; barriga.",O médico me mandou tirar raio-x do abdômen.,MÉDIC@ 3sMANDAR1s RAIO-X ABDÔMEN.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABELHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abelhaSm_Prog001.mp4,0.0,ne,ABELHA,False,True,A,ANIMAL/INSETO/PEIXE/AVE,Inseto de quatro asas membranosas e aparelho bucal mastigador. Algumas espécies fabricam o mel.,O mel de abelha é bom contra a tosse.,MEL ABELHA BO@ TOSSE.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABENÇOAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,0.0,ne,ABENÇOAR1,True,True,A,NENHUM,Dar a benção; benzer.,Eu orei a Deus para abençoar minha vida.,EU ORAR DEUS ABENÇOAR VIDA BEM.,VERBO,Nacional,,,,,,,,,,,,,,,
ABENÇOAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,0.0,ne,ABENÇOAR2,True,True,A,NENHUM,Dar a benção; benzer.,"No final do culto, o pastor abençoou a todos.",F-I-M CULTO PASTOR ABENÇOARtodos.,VERBO,Nacional,,,,,,,,,,,,,,,
ABERTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto1Sm_Prog001.mp4,0.0,ne,ABERTO1,True,True,A,NENHUM,O que permite a passagem; o que não está fechado.,Ontem você deixou a porta da sala aberta.,ONTEM VOCÊ CASA PORTA-ABERT@ DEIXAR S-A-L-A.,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABERTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto2Sm_Prog001.mp4,0.0,ne,ABERTO2,True,True,A,NENHUM,"Acessível, livre, transponível.",O curso de computação vai estar aberto no sábado.,CURSO COMPUTADOR TER ABERT@ SÁBADO.,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABERTURA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberturaSm_Prog001.mp4,0.0,ne,ABERTURA,False,True,A,NENHUM,Início de um evento; solenidade com que são abertos os trabalhos de um evento.,"A abertura do seminário do MEC, na semana passada, foi ótima!",SEMANA PASSAD@ ABERTURA SEMINÁRIO M-E-C ÓTIM@!,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABISMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abismarSm_Prog001.mp4,0.0,ne,ABISMAR,False,True,A,NENHUM,Assombrado ou admirado.,"Estou abismado, que casa tão grande e tão bonita!",ABISMAD@ CASA GRANDEmuito BONIT@muito!,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABÓBORA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobora1Sm_Prog001.mp4,0.0,ne,ABÓBORA1,True,True,A,LEGUME/VERDURA,"Tipo de fruto comestível, muito usado em preparações salgadas e doces da culinária brasileira.","Eu já comi doce de abóbora, é gostoso!",DOCE LARANJA^coisa-volumosa-arredondada COMER JÁ GOSTOS@!,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABÓBORA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobora2Sm_Prog001.mp4,0.0,ne,ABÓBORA2,True,True,A,LEGUME/VERDURA,"Tipo de fruto comestível, muito usado em preparações salgadas e doces da culinária brasileira.",Eu nunca comi abóbora verde.,VERDE coisa-sinuosa EU COMER N-U-N-C-A.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABOBRINHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,0.0,ne,ABOBRINHA,False,True,A,LEGUME/VERDURA,"Fruto de aboboreira. Legume de casca verde e polpa esverdeada, usado em refogados, cozidos e outras preparações salgadas.",Hoje não encontrei abobrinha na feira.,HOJE FEIRA PROCURAR ENCONTRAR NÃO ABOBRINHA.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABOCANHAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abocanharSm_Prog001.mp4,0.0,ne,ABOCANHAR,False,True,A,NENHUM,"Apanhar, pegar com a boca; morder.",O jacaré abocanhou a cobra.,JACARÉ COBRA ABOCANHAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ABOLIÇÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abolicaoSm_Prog001.mp4,0.0,ne,ABOLIÇÃO,False,True,A,NENHUM,Revogação ou anulação de uma lei ou ordem.,"Antigamente os escravos negros sofriam. Mais tarde, conseguiram a abolição da escravatura.",ANTIGAMENTE NEGR@ SOFRER ESCRAV@-ABOLIÇÃO CONSEGUIR.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABONAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abonarSm_Prog001.mp4,0.0,ne,ABONAR,False,True,A,NENHUM,Justificar; não descontar.,Meu chefe abonou minha falta e amanhã vou ter folga.,FALTA CHEFE 3sABONAR1s. AMANHÃ FOLGAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ABONO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abonoSm_Prog001.mp4,0.0,ne,ABONO,False,True,A,NENHUM,Fiança; garantia; quantia adiantada por conta de um futuro vencimento.,"No BANERJ não tem abono, só paga o salário.",B-A-N-C-O B-A-N-E-R-J TER-NÃO ABON@ SÓ SALÁRIO.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABORRECER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aborrecerSm_Prog001.mp4,0.0,ne,ABORRECER,False,True,A,NENHUM,Sentir ou provocar aborrecimento; constranger; amolar.,Não vale a pena se aborrecer.,ABORRECER BO@ NÃO.,VERBO,Nacional,,,,,,,,,,,,,,,
ABORRECIDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,0.0,ne,ABORRECIDO,False,True,A,SENTIMENTOS,"Ser tomado por um sentimento negativo, que expressa contrariedade.",Ontem roubaram meu cachorro e eu fiquei muito aborrecido.,ONTEM ROUBAR ME@ CACHORR@ ABORRECID@muito.,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABORTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar1Sm_Prog001.mp4,0.0,ne,ABORTAR1,True,True,A,NENHUM,"Sofrer a perda do feto, prematuramente e por vontade própria; não cumprir todo o período de gestação.","No Brasil, a mulher grávida só pode abortar em caso de problema de saúde.",BRASIL MULHER-GRÁVIDA PODER ABORTAR S-Ó PROBLEMA SAÚDE.,VERBO,Nacional,,,,,,,,,,,,,,,
ABORTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar2Sm_Prog001.mp4,0.0,ne,ABORTAR2,True,True,A,NENHUM,"Expulsão prematura do feto por causas naturais, como acidentes e doenças.","Minha esposa caiu e abortou; fiquei triste, porque queria um filho.",ESPOS@ M@ pessoaCAIRchão ABORTAR EU TRISTE QUERER FILH@.,VERBO,Nacional,,,,,,,,,,,,,,,
ABORTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abortar1Sm_Prog001.mp4,0.0,ne,ABORTO,False,True,A,HIGIENE/SAÚDE,Expulsão prematura do feto.,A igreja proibe o aborto.,ABORTO IGREJA PROIBIR.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABOTOAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abotoarSm_Prog001.mp4,0.0,ne,ABOTOAR,False,True,A,NENHUM,"Enfiar os botões nas aberturas correspondentes, ou casas, para fechar uma ou mais peças do vestuário.",Você se esqueceu de abotoar a camisa do seu filho!,CAMISA SE@ FILH@ ABOTOAR ESQUECER!,VERBO,Nacional,,,,,,,,,,,,,,,
ABRACADABRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracadabraSm_Prog001.mp4,0.0,ne,ABRACADABRA,False,True,A,ESPORTE/DIVERSÃO,"Expressão comum nas estórias infantis, no teatro e nas apresentações de mágicos, para expressar poderes sobrenaturais.",Eu sei fazer ABRACADABRA e transformar um ovo em pinto!,EU SABER O-V-O ABRACADABRA TRANSFORMAR PINTO.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABRAÇAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracarSm_Prog001.mp4,0.0,ne,ABRAÇAR,False,True,A,NENHUM,"Envolver uma pessoa com os braços, aproximando-se dela.",Ela abraçou o seu filho.,EL@ ABRAÇAR FILH@ DEL@.,VERBO,Nacional,,,,,,,,,,,,,,,
